time,data
2023/07/13 14:48:03.621724469,56
2023/07/13 14:48:06.148458799,55
2023/07/13 14:48:08.428126138,58
2023/07/13 14:48:11.327916855,56
2023/07/13 14:48:13.854139201,59
2023/07/13 14:48:16.370345682,68
2023/07/13 14:48:18.896508768,67
2023/07/13 14:48:21.311168720,64
2023/07/13 14:48:23.847945679,62
2023/07/13 14:48:26.350360811,54
2023/07/13 14:48:28.904861607,51
2023/07/13 14:48:31.129638489,52
2023/07/13 14:48:33.535849342,55
2023/07/13 14:48:35.888347290,62
2023/07/13 14:48:38.475954637,62
2023/07/13 14:48:40.969073168,66
2023/07/13 14:48:43.463462956,59
2023/07/13 14:48:46.13076882,57
